header,"Online Library Card Registration Form","Formulario de Inscripción Card Library Online","在线图书馆卡登记表"
enter_birthdate,"Please Enter Your Birth Date","xxx","???"
header_adult,"Adult Library Card Registration (age 18 and above)","xxx","???"
header_teen,"Teen Library Card Registration (ages 13-17)","xxx","???"
header_child,"Child Library Card Registration (ages 5-12)","xxx","???"
month,"Month","xxx","???"
january,"January","xxx","???"
february,"February","xxx","???"
march,"March","xxx","???"
april,"April","xxx","???"
may,"May","xxx","???"
june,"June","xxx","???"
july,"July","xxx","???"
august,"August","xxx","???"
september,"September","xxx","???"
october,"October","xxx","???"
november,"November","xxx","???"
december,"December","xxx","???"
day,"Day","xxx","???"
year,"Year","xxx","???"
submit,"Submit","xxx","???"
start_over,"Start Over","xxx","???"
disability_note,"If you have a disability, ask Library staff for an Extended Services form.","xxx","???"
pickup_note_adult,"Pick up your library card in person from your nearest branch within 14 days of applying with the following documents:<ol><li>Photo ID</li><li>Proof of address</li></ol>","xxx","???"
pickup_note_teen,"Pick up your library card in person from your nearest library branch within 14 days of applying with your photo ID. Proof of address is required with ID for full access to our services, but we accept multiple forms of identification.  If no ID or proof of address is available, a parent/guardian signature on a <a href=""http://www.oaklandlibrary.org/sites/default/files/uploads/OPL_Card_App_Eng_Teens_0.pdf"">paper application</a> is also acceptable.","xxx","???"
pickup_note_child,"Parent/Legal Guardian and child must both present themselves for the child to receive the card within 14 days of applying. Alternatively, you may print and fill out a <a href=""http://www.oaklandlibrary.org/sites/default/files/uploads/OPL_Card_App_Eng_Kids_0.pdf"">paper application</a> for the child to receive a card without parent/legal guardian present.","xxx","???"
required,"required field","xxx","???"
name,"Name","xxx","???"
last_name,"Last Name","xxx","???"
first_name,"First Name","xxx","???"
middle_initial,"Middle Initial","xxx","???"
home_address,"Home Address","xxx","???"
street,"Street","xxx","???"
apt,"Apt.#","xxx","???"
city,"City","xxx","???"
zip,"CA. Zip Code","xxx","???"
phone,"Telephone","xxx","???"
phone_note,"(including area code)","xxx","???"
mailing_address,"Mailing Address (if different from home address)","xxx","???"
email,"E-Mail Address","xxx","???"
pref_lang,"Preferred Language","xxx","???"
pref_lang_note,"If you prefer to read in a language other than English, please indicate that language here","xxx","???"
parent_info,"Parent/Guardian Identification","xxx","???"
school,"School","xxx","???"
parent_note,"You may register using one of several identification types. Please select an identification type by clicking one of the buttons below, and then enter the number shown on your ID. For more information about the accepted types of identification, please see &ldquo;<a href=""#"" onclick=""lightbox_open(acceptable_id());"">What forms of identification are accepted?</a>&rdquo;","xxx","???"
ident,"Identification","xxx","???"
ident_note,"You may register using one of several identification types. Please select an identification type by clicking one of the buttons below, and then enter the number shown on your ID. For more information about the accepted types of identification, please see &ldquo;<a href=""#"" onclick=""lightbox_open(acceptable_id());"">What forms of identification are accepted?</a>&rdquo; Please see staff if you have ID not listed here.","xxx","???"
drivers_license,"Driver's License","xxx","???"
resident_card,"Permanent Resident Card","xxx","???"
state_id,"State Issued ID Card","xxx","???"
matricula,"Matricula Consular ID Card","xxx","???"
city_id,"Oakland City ID/Municipal City ID","xxx","???"
student_id,"Student ID Card","xxx","???"
passport,"Passport","xxx","???"
ident_number,"ID Number","xxx","???"
agreement,"Online Agreement","xxx","???"
